"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"TID_PARENTS_GUIDE_BUTTON","<cba55d3>Follow us in Telegram</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Наш канал в Telegram</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Bizi Telegram’dan takip edin (İnglizce)</c>","<cba55d3>Follow us in Telegram (EN)</c>"
"TID_PROTECT_KING_INTRO_TEXT",,,,,,,,,,,,,,,,,,,,,
"TID_RANDOM_GAME_MODE","MYSTERY MODE","وضع اللغز","随机应变模式","神秘隨機戰模式","GEHEIMNISMODUS","MODO MISTERIO","MYSTEERITILA","MODE MYSTÈRE","מצב תעלומה","MODE MISTERI","MODALITÀ MISTERO","ミステリーモード","미스터리 모드","MOD MISTERI","MYSTERIEMODUS","TRYB TAJEMNICY","MODO MISTÉRIO","ЗАГАДОЧНЫЙ РЕЖИМ","โหมดปริศนา","SÜRPRİZ MOD","CHẾ ĐỘ BÍ ẨN"
"TID_RANDOM_GAME_MODE_3V3","3v3 + Modifiers!","3 ضد 3 + متغيرات","3对3+随机事件","3v3+隨機事件!","3v3 + Modifikatoren!","¡3c3 y modificadores!","3v3 + muokkaajia!","3c3 et modificateurs!","3 נ גד 3 + משני מצב!","3v3 + Modifikasi Laga!","3v3 + modificatori!","3対3 + 特別ルール!","3대3++추가 모드!","3 lwn 3 + Pengubah Suai!","3-tegen-3 + aanpassingen!","3 na 3 + modyfikatory!","3x3 + modificadores!","3 на 3 с модификаторами!","3v3 + ตัวดัดแปลง!","3'e 3 + Dış Etkenler!","3v3 + Yếu tố điều chỉnh!"
"TID_SELECT_PLAYER_NAME_COLOR_FAIL_2","Not available at the moment.","غير متوفر حالياً.","当前不可用。","目前無法使用。","Zurzeit nicht verfügbar.","No disponible en este momento.","Ei saatavilla tällä hetkellä.","Indisponible pour le moment.","לא זמין כרגע.","Tidak tersedia saat ini.","Non disponibile al momento.","現在はご利用いただけません。","현재 이용하실 수 없습니다.","Tidak tersedia buat masa ini.","Op dit moment niet beschikbaar.","Obecnie niedostępne.","Indisponível no momento.","Недоступно на данный момент.","ขณะนี้ไม่พร้อมใช้งาน","Şu anlık mevcut değil.","Hiện không khả dụng."
"TID_SETTINGS_RANDOM_REWARD_RATES","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Меню модов</c>","<cba55d3>Manage mods</c>","<cd4bdfc>Mod yönetimi</c>","<cba55d3>Manage mods</c>"
"TID_SETTINGS_SC_ID","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_SPEC_SPOT_FROM_AIR","SPOT","الرصد","空中侦察","見獵心喜","LUFTAUFKLÄRUNG","CON ALTURA","BONGAUS","REPÉRAGE","זיהוי","KETEMU!","VEDETTA","スポット","발견","TAJAM MATA","SPOTTER","DOSTRZEŻ","DETECÇÃO INIMIGA","ЗОРКОСТЬ","สายตาคมกริบ","NOKTA","TINH MẮT"
"TID_STREAM_EVENT_50","<sender> updates the club settings.","<sender> يقوم بتحديث إعدادات النادي.","<sender> 更新了俱乐部设置。","<sender> 更新了俱樂部設定。","<sender> aktualisiert die Club-Einstellungen.","<sender> actualiza la configuración del club.","<sender> päivittää klubin asetuksia.","<sender> met à jour les paramètres du club.","<sender> מעדכן את הגדרות המועדון.","<sender> memperbarui pengaturan klub.","<sender> aggiorna le impostazioni del club.","<sender> がクラブの設定を更新しました。","<sender> 클럽 설정을 업데이트합니다.","<sender> mengemas kini tetapan kelab.","<sender> werkt de clubinstellingen bij.","<sender> aktualizuje ustawienia klubu.","<sender> atualiza as configurações do clube.","<sender> обновляет настройки клуба.","<sender> กำลังอัปเดตการตั้งค่าคลับ","<sender> kulüp ayarlarını güncelliyor.","<sender> cập nhật cài đặt câu lạc bộ."
"TID_STREAM_EVENT_51","<sender> updates the club settings and description.","<sender> يقوم بتحديث إعدادات ووصف النادي.","<sender> 更新了俱乐部设置和描述。","<sender> 更新了俱樂部設定和描述。","<sender> aktualisiert die Club-Einstellungen und -Beschreibung.","<sender> actualiza la configuración y la descripción del club.","<sender> päivittää klubin asetukset ja kuvauksen.","<sender> met à jour les paramètres et la description du club.","<sender> מעדכן את הגדרות ותיאור המועדון.","<sender> memperbarui pengaturan dan deskripsi klub.","<sender> aggiorna le impostazioni e la descrizione del club.","<sender> がクラブの設定と説明を更新しました。","<sender> 클럽 설정과 설명을 업데이트합니다.","<sender> mengemas kini tetapan dan keterangan kelab.","<sender> werkt de clubinstellingen en beschrijving bij.","<sender> aktualizuje ustawienia i opis klubu.","<sender> atualiza as configurações e a descrição do clube.","<sender> обновляет настройки и описание клуба.","<sender> กำลังอัปเดตการตั้งค่าและคำอธิบายคลับ","<sender> kulüp ayarlarını ve açıklamasını güncelliyor.","<sender> cập nhật cài đặt và mô tả câu lạc bộ."
"TID_SUPERCELL_ID_TITLE","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
